"Date","Time","Remark","Party","Category","Mode","Cash In","Cash Out","Balance"
"01 Jan 2025","11:27 AM","Pocket Money","","Home","Cash","1073.27","","1073.27"
"01 Jan 2025","08:02 PM","Sandwich","","Food","Cash","","80","873.27"
"01 Jan 2025","08:02 PM","Coffee","","Food","Cash","","20","953.27"
"01 Jan 2025","08:02 PM","Fries","","Food","Cash","","100","973.27"
"02 Jan 2025","03:55 AM","Tea","","Food","Cash","","10","753.27"
"02 Jan 2025","03:55 AM","Puff","","Food","Cash","","30","763.27"
"02 Jan 2025","03:55 AM","Maggi","","Food","Cash","","80","793.27"
"02 Jan 2025","03:56 AM","Bhajiya","","Food","Cash","","46.67","661.6"
"02 Jan 2025","03:56 AM","Gathiya","","Food","Cash","","45","708.27"
"03 Jan 2025","01:01 PM","Soup Packet","","Food","Cash","","20","621.6"
"03 Jan 2025","01:01 PM","Toothpaste","","Basic","Cash","","20","641.6"
"03 Jan 2025","01:02 PM","Manchurian","","Food","Cash","","110","491.6"
"03 Jan 2025","01:02 PM","Panipuri","","Food","Cash","","20","601.6"
"04 Jan 2025","01:06 PM","Rickshaw","","Travel","Cash","","80","398.6"
"04 Jan 2025","01:06 PM","Stationery","","College","Cash","","13","478.6"
"04 Jan 2025","05:26 PM","Samosa","","Food","Cash","","40","328.6"
"04 Jan 2025","05:26 PM","Khandvi","","Food","Cash","","30","368.6"
"05 Jan 2025","10:39 PM","Wafers","","Food","Cash","","40","248.6"
"05 Jan 2025","10:39 PM","Biscuit","","Food","Cash","","40","288.6"
"06 Jan 2025","08:10 AM","Pocket Money","","Home","Cash","3000","","3248.6"
"06 Jan 2025","08:11 AM","Rickshaw","","Travel","Cash","","98","3070.6"
"06 Jan 2025","08:11 AM","Rickshaw","","Travel","Cash","","80","3168.6"
"06 Jan 2025","08:12 AM","Men Shirt with Band Collar | M","","Clothes","Cash","","463.5","2607.1"
"06 Jan 2025","08:14 AM","Bhajiya","","Food","Cash","","40","2467.1"
"06 Jan 2025","08:14 AM","Fries","","Food","Cash","","40","2507.1"
"06 Jan 2025","08:14 AM","Panipuri","","Food","Cash","","20","2547.1"
"06 Jan 2025","08:14 AM","Gathiya","","Food","Cash","","40","2567.1"
"07 Jan 2025","08:59 PM","Sopari","","Food","Cash","","20","2447.1"
"09 Jan 2025","08:16 AM","Fries","","Food","Cash","","90","2257.1"
"09 Jan 2025","08:16 AM","Vadapav","","Food","Cash","","100","2347.1"
"10 Jan 2025","09:37 AM","Tea","","Food","Cash","","40","2217.1"
