Remark,Cash In,Cash Out
Aagman Thal,0.0,350.0
Aloo Puri,0.0,25.0
Badam Shake,0.0,30.0
Bhajiya,0.0,248.67000000000002
Bhel,0.0,120.0
Biscuit,0.0,289.0
Black Dry Grapes,0.0,45.0
Chatuney,0.0,50.0
Chhole Kulche,0.0,190.0
Chips,0.0,60.0
Chocolate,0.0,340.0
Chole Kulche,0.0,70.0
Chorafali,0.0,23.33
Coffee,0.0,45.0
Cold Drink,0.0,706.66
Dhokala,0.0,30.0
Dhosa,0.0,302.5
Frenkie,0.0,140.0
Fries,0.0,400.0
Gathiya,0.0,135.0
Grapes,0.0,95.66
Ice Cream,0.0,1047.0
Ice Dish,0.0,254.0
Khaman,0.0,45.0
Khandvi,0.0,96.67
Khausa,0.0,25.0
MacDonald,0.0,219.0
Macdonalds,0.0,114.88
Maggi,0.0,190.0
Maggi Masala,0.0,10.0
Manchurian,0.0,302.84000000000003
Mendu Vada,0.0,53.34
Momos,0.0,40.0
Office Lunch,0.0,420.0
Panipuri,0.0,393.65999999999997
Panjabi Food,0.0,1429.4699999999998
Papa Luise,0.0,354.34
Pices,0.0,20.0
Pizza,0.0,3862.4900000000002
Popcorn,0.0,155.0
Puff,0.0,385.0
Pulav,0.0,100.0
Rickshaw,0.0,80.0
Samosa,0.0,70.0
Sandwich,0.0,640.0
Sev Khamni,0.0,45.0
Sev khamni,0.0,20.0
Sopari,0.0,90.0
Soup Packet,0.0,65.0
Sugarcane Juice,0.0,100.0
Tea,0.0,70.0
Thepla,0.0,60.67
Vadapav,0.0,355.0
Wafers,0.0,1020.0
Watermelon,0.0,293.74
